endtime_iso,endtime_video,fullscreen,id,label,starttime_iso,starttime_video,video_id,video_length,video_order,duration_fixation_aoi_face,duration_fixation_aoi_face_max,duration_fixation_aoi_out,duration_fixation_aoi_out_max,duration_fixation_aoi_slide,duration_fixation_aoi_slide_max,duration_fixation_aoi_subtitle,duration_fixation_aoi_subtitle_max,fixation_saccade_ratio,fixationduration_kurtosis,fixationduration_max,fixationduration_mean,fixationduration_median,fixationduration_min,fixationduration_range,fixationduration_skew,fixationduration_stddev,num_saccade_aoi_face_aoi2in,num_saccade_aoi_face_in2aoi,num_saccade_aoi_face_in2out,num_saccade_aoi_face_out2in,num_saccade_aoi_face_within,num_saccade_aoi_slide_aoi2in,num_saccade_aoi_slide_in2aoi,num_saccade_aoi_slide_in2out,num_saccade_aoi_slide_out2in,num_saccade_aoi_slide_within,num_saccade_aoi_subtitle_aoi2in,num_saccade_aoi_subtitle_in2aoi,num_saccade_aoi_subtitle_in2out,num_saccade_aoi_subtitle_out2in,num_saccade_aoi_subtitle_within,saccade_horizonratio,saccade_num,saccadeangel_kurtosis,saccadeangel_max,saccadeangel_mean,saccadeangel_median,saccadeangel_min,saccadeangel_range,saccadeangel_skew,saccadeangel_stddev,saccadedistance_kurtosis,saccadedistance_max,saccadedistance_mean,saccadedistance_median,saccadedistance_min,saccadedistance_range,saccadedistance_skew,saccadedistance_stddev,saccadeduration_kurtosis,saccadeduration_max,saccadeduration_mean,saccadeduration_median,saccadeduration_min,saccadeduration_range,saccadeduration_skew,saccadeduration_stddev
2017-04-12T09:28:47.772Z,38.540809,0.0,Anon01,0.0,2017-04-12T09:28:17.772Z,8.540809,Nuclear,400.921,1.0,0.0,0.0,0.979038621608,1957.00001717,0.00827796223376,202.999830246,0.0126834161585,199.000120163,0.970921001586,1.2117174278,1957.00001717,380.364862648,197.999954224,28.0001163483,1928.99990082,1.55252531618,435.953782053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,-0.288387655219,88.9053094081,10.1283260309,9.9722470916,-70.7217519369,159.627061345,-0.140836842773,36.7168864252,0.56759330325,5136.85292762,1542.60595904,1316.2009725,108.784190028,5028.06873759,1.00687779029,1098.48407015,0.819604750997,1957.0,397.123287671,199.0,28.0,1929.0,1.42911764964,443.843084243
2017-04-12T09:29:34.224Z,85.0593229256134,0.0,Anon01,0.0,2017-04-12T09:29:04.224Z,55.0593229256,Nuclear,400.921,1.0,0.0,0.0,0.958572197233,1259.00006294,0.0414278027674,1046.99993134,0.0,0.0,1.00633908933,-0.427574452805,1259.00006294,394.789473007,199.000120163,29.000043869,1230.00001907,1.20434026542,408.18749979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.3467545811,84.7150406171,8.19194548554,7.25806557897,-65.752568794,150.467609411,0.149999532553,31.1436760832,-0.151266167239,4645.48910234,1787.10065669,1593.43810674,0.0,4645.48910234,0.636941903234,1104.20692634,-0.476923405142,1259.0,397.533333333,201.0,29.0,1230.0,1.1841144599,410.20288747
2017-04-12T09:30:35.276Z,146.13896398283387,0.0,Anon01,0.0,2017-04-12T09:30:05.276Z,116.138963983,Nuclear,400.921,1.0,0.0,0.0,0.876712323723,2062.00003624,0.116539087299,2078.00006866,0.00674858897852,200.999975204,0.999966431368,3.63637939663,2078.00006866,381.846155876,199.000120163,32.9999923706,2045.00007629,2.06000398315,444.547035017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.00237318145571,77.7703842424,-4.84621379125,-2.72569981285,-81.1264749543,158.896859197,-0.073031402108,34.5419305436,7.6630426779,7301.88715333,1592.73853203,1305.89624396,207.713745332,7094.173408,2.14469747587,1106.7309184,3.38452557668,2078.0,386.818181818,200.0,33.0,2045.0,2.02169239779,452.113269547
2017-04-12T09:31:36.727Z,206.331911,0.0,Anon01,0.0,2017-04-12T09:31:06.727Z,176.331911,Nuclear,400.921,1.0,0.00292325985096,83.9998722076,0.903358284354,2133.00013542,0.0130502787485,191.999912262,0.0806681770465,2134.00006294,0.992059386622,2.54794970682,2134.00006294,416.449277297,194.000005722,32.0000648499,2101.99999809,1.78494943305,484.512670931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.44737284294,87.1005711302,-0.175229455398,5.85601358543,-84.347005013,171.447576143,-0.395718097556,33.5059568639,2.21016407141,5863.70565428,1645.86812315,1376.92465385,67.2086303982,5796.49702388,1.3188095558,1081.62236698,2.41608353833,2134.0,425.955882353,199.0,32.0,2102.0,1.74298914354,486.450179839
2017-04-12T09:32:33.103Z,263.93422694659426,0.0,Anon01,0.0,2017-04-12T09:32:03.103Z,233.934226947,Nuclear,400.921,1.0,0.0,0.0,0.946256616576,1238.0001545,0.0537433834236,1210.99996567,0.0,0.0,1.03109110118,-0.428062014196,1238.0001545,394.90789175,194.999933243,37.9998683929,1200.0002861,1.21256776917,407.34745856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,-0.0757071012148,74.4071890607,3.09982696439,3.56037426337,-83.9667469938,158.373936055,-0.358921724342,37.3309148208,6.21980755932,6392.65594256,1562.6120244,1280.80950965,178.572114284,6214.08382828,2.04844117941,1072.68282241,-0.145666283331,1407.0,388.106666667,194.0,38.0,1369.0,1.30330392782,407.799969702
2017-04-12T09:33:34.025Z,323.57275,0.0,Anon01,1.0,2017-04-12T09:33:04.025Z,293.57275,Nuclear,400.921,1.0,0.0,0.0,1.0,2133.99982452,0.0,0.0,0.0,0.0,0.958834186954,2.70796204671,2133.99982452,439.323073167,203.999996185,32.9999923706,2100.99983215,1.86204239808,507.976949469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1.4852871886,89.2803807076,2.79564940887,2.81889554603,-82.7920365074,172.072417215,0.351647156872,33.2062970982,3.46886105126,6864.47062781,1707.11470561,1379.56104728,154.987096237,6709.48353157,1.81530921235,1353.87646969,1.92352432623,2134.0,465.34375,204.5,33.0,2101.0,1.70627443313,532.351834397
2017-04-12T09:34:11.537Z,362.089951,0.0,Anon01,0.0,2017-04-12T09:33:41.537Z,332.089951,Nuclear,400.921,1.0,0.0,0.0,0.944908718803,2940.00005722,0.0139162874667,207.999944687,0.0411749937298,1148.00000191,0.959098728654,5.94707182865,2940.00005722,435.640625656,197.999954224,32.9999923706,2907.00006485,2.38586852386,565.30003796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,-0.0985538994613,79.4593460933,-9.3744675625,-3.66983037328,-81.7028550302,161.162201123,0.0736010093439,37.5969060355,0.239732907963,4420.80015382,1547.2423568,1357.19600648,137.557260804,4283.24289301,0.860583143948,985.037781813,5.53145551047,2940.0,461.428571429,199.0,33.0,2907.0,2.33980187769,600.891393781
2017-04-12T09:40:29.560Z,41.821216,0.0,Anon01,0.0,2017-04-12T09:39:59.560Z,11.821216,Solar,468.0214058956916,2.0,0.0022441422658,66.0002231598,0.985311113024,2090.99984169,0.0124447447101,184.99994278,0.0,0.0,0.986647866646,1.79617813973,2090.99984169,438.955218045,198.999881744,31.9998264313,2059.00001526,1.60099513869,484.536680775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,-0.176619724262,83.6598082541,1.33257793937,2.46537894618,-87.7275502672,171.387358521,-0.181411973975,37.7405125598,1.49124017349,4445.74808103,1389.40176675,1256.71539887,81.4984662432,4364.24961479,1.16343786738,888.634885377,1.46931909084,2091.0,451.636363636,199.0,32.0,2059.0,1.5476980319,502.600981452
2017-04-12T09:41:28.162Z,100.62706982833862,0.0,Anon01,0.0,2017-04-12T09:40:58.162Z,70.6270698283,Solar,468.0214058956916,2.0,0.0,0.0,1.0,1619.99988556,0.0,0.0,0.0,0.0,0.915246739438,7.72067075154,1619.99988556,306.420448152,202.999949455,55.999994278,1563.99989128,2.74223402201,268.960172968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,-0.212520920702,87.3535453857,-2.2450333894,-3.03942327457,-85.2243541654,172.577899551,0.154219557205,37.3379710314,0.743772680235,1978.63235595,696.006997352,599.120188276,97.4648654644,1881.16749048,0.969189335082,414.803115333,5.9154205835,1820.0,338.643678161,203.0,56.0,1764.0,2.37775230777,307.160483607
2017-04-12T09:42:27.429Z,159.88924984931947,0.0,Anon01,0.0,2017-04-12T09:41:57.429Z,129.889249849,Solar,468.0214058956916,2.0,0.0,0.0,0.984890716629,2190.99998474,0.0151092833714,213.999986649,0.0,0.0,0.960851338169,12.1677111913,2190.99998474,332.536586901,203.000068665,163.999795914,2027.00018883,3.46437611576,371.022994452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.123067177386,88.9128343459,-1.47934044293,-3.42079038493,-85.3312056987,174.244040045,0.0955389874255,34.6318724109,0.711363285537,1941.92507579,667.064958408,601.9975083,71.4501574526,1870.47491834,0.959137802707,424.200962243,11.2460894017,2396.0,350.358024691,203.0,163.0,2233.0,3.2067164317,382.499166743
2017-04-12T09:43:29.020Z,221.46986591989136,0.0,Anon01,1.0,2017-04-12T09:42:59.020Z,191.46986592,Solar,468.0214058956916,2.0,0.0,0.0,0.992997400174,1005.99980354,0.0,0.0,0.00700259982633,198.999881744,0.954072382422,26.6992635529,1005.99980354,222.015624866,200.999975204,146.000146866,859.999656677,5.20764645925,118.419388201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,-0.0781519303627,86.0817511359,-3.58852496569,-5.77536428984,-85.7895015967,171.871252733,0.265399732389,37.9197070997,0.0755839278761,2709.55826658,947.545228264,787.289654447,40.8044115262,2668.75385506,0.793920112433,580.731673719,22.495765527,1199.0,234.535433071,201.0,149.0,1050.0,4.78521110765,157.124244698
2017-04-12T09:44:20.584Z,273.051388164032,0.0,Anon01,1.0,2017-04-12T09:43:50.584Z,243.051388164,Solar,468.0214058956916,2.0,0.0065355000923,189.0001297,0.89180124117,1002.99978256,0.0482036043688,217.000007629,0.053459654369,222.999811172,0.969492788467,65.170352558,1002.99978256,209.55797382,199.000120163,161.999940872,840.99984169,7.96428052142,85.868611341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,-0.530229981071,89.2375536459,-0.962057447599,-1.18288854551,-87.5214856636,176.75903931,0.134781796758,41.9252413325,0.87036107769,3319.54966825,954.584010445,901.843667162,73.4931969641,3246.05647129,0.854659582982,602.0532129,55.2993404329,1190.0,217.729927007,200.0,162.0,1028.0,7.26825728988,111.990973545
2017-04-12T09:45:04.770Z,317.22300708392333,0.0,Anon01,0.0,2017-04-12T09:44:34.770Z,287.223007084,Solar,468.0214058956916,2.0,0.0,0.0,0.964748816996,615.000009537,0.02876780419,208.999872208,0.00648337881413,182.999849319,0.946926993832,30.3432749275,615.000009537,210.641789792,200.500011444,157.999992371,457.000017166,5.29705673661,58.0334896906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,-0.461158166095,88.3562014082,-1.26558281942,-2.83432351494,-88.7811247649,177.137326173,-0.00452338260473,40.7736248668,0.151150568217,2813.21773064,982.393027619,904.723714733,47.0106370942,2766.20709355,0.663463689432,562.686678167,18.7974049321,802.0,224.120300752,201.0,158.0,644.0,4.29036871017,100.145836335
2017-04-12T09:45:46.779Z,359.2447530743866,0.0,Anon01,1.0,2017-04-12T09:45:16.779Z,329.244753074,Solar,468.0214058956916,2.0,0.0,0.0,0.993465916039,819.999933243,0.00653408396098,183.000087738,0.0,0.0,0.939453902156,17.6177688029,819.999933243,225.862901057,200.999975204,167.000055313,652.99987793,4.27500445886,112.401730938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,-0.448262110986,85.5018804368,-8.95547457364,-9.95024964217,-84.5155867659,170.017467203,0.218107128556,40.0642360112,0.792923463996,3272.92178336,1048.50174203,900.696987061,89.2051708143,3183.71661255,1.04546779779,704.491919783,13.6773900008,1018.0,242.37398374,201.0,167.0,851.0,3.83273304749,160.054838081
2017-04-12T09:46:35.371Z,407.82918799046325,0.0,Anon01,1.0,2017-04-12T09:46:05.371Z,377.82918799,Solar,468.0214058956916,2.0,0.014741402354,210.999965668,0.950376542051,1417.00005531,0.0138533625984,200.000047684,0.0210286929966,212.999820709,0.944666292703,52.3123740756,1417.00005531,223.428572927,200.000047684,157.00006485,1259.99999046,6.96390600762,136.381847143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,-0.327937425665,89.8829106953,-3.50109736489,-10.2586491759,-83.2220512658,173.104961961,0.42857752019,40.625788302,0.713125891877,2796.57737243,879.034429122,780.66638201,132.230858728,2664.3465137,0.898381808377,513.980871673,38.8343811304,1620.0,238.408,201.0,157.0,1463.0,5.9300591963,172.844211752
2017-04-12T09:47:08.563Z,441.0306919752045,0.0,Anon01,0.0,2017-04-12T09:46:38.563Z,411.030691975,Solar,468.0214058956916,2.0,0.0,0.0,0.965816189996,805.000066757,0.0341838100039,200.999975204,0.0,0.0,0.952470459436,31.2830191474,805.000066757,214.969696421,200.000047684,155.999898911,649.000167847,5.3413886433,77.7299120597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,-0.0210475230828,85.1115990519,-2.32615034573,-7.43067671324,-86.9758645499,172.087463602,0.271898067003,37.1137551412,-0.589587356377,2154.04479991,918.933935622,850.680903747,72.2772439984,2081.76755591,0.41334878027,505.084557775,22.7009536651,1036.0,227.419847328,200.0,166.0,870.0,4.66150483789,119.46911538
2017-04-12T11:21:22.331Z,37.23875002098084,1.0,Anon02,0.0,2017-04-12T11:20:52.331Z,7.23875002098,Solar,468,1.0,0.0598571172887,417.999982834,0.625000001086,1029.00004387,0.235053941899,1993.99995804,0.0800889397254,995.99981308,0.953161915281,38.3784911327,1993.99995804,249.381817471,200.999975204,166.000127792,1827.99983025,5.84051065685,217.959703127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,-0.780224159279,89.6942623496,-7.27594178957,-19.0456743202,-86.5716314411,176.265893791,0.428552432275,45.0511247893,0.783941534716,1196.75770313,414.603233284,373.376485601,38.0131556175,1158.74454751,0.819659692012,210.625770145,34.5947019129,2195.0,264.036697248,201.0,166.0,2029.0,5.46948474186,248.264062089
2017-04-12T11:22:15.426Z,90.34618613351441,1.0,Anon02,0.0,2017-04-12T11:21:45.426Z,60.3461861335,Solar,468,1.0,0.0164169800962,235.000133514,0.309750798569,631.000041962,0.630544413427,2171.00000381,0.0432878079082,220.999956131,0.911613706094,35.6787220926,2171.00000381,261.221154378,202.000021935,151.999950409,2019.00005341,5.52009722717,244.838793614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,-1.03390085188,89.2838400545,-1.3896223557,2.70747604591,-89.53228974,178.816129794,0.14636154719,48.5549121957,-0.0211239372876,1041.36304909,391.774795563,341.493777396,20.4173469274,1020.94570216,0.818660270527,237.524164293,26.4118673869,2394.0,289.330097087,204.0,152.0,2242.0,4.6921589124,292.148964142
2017-04-12T11:23:09.261Z,144.1697158817444,1.0,Anon02,0.0,2017-04-12T11:22:39.261Z,114.169715882,Solar,468,1.0,0.101158790134,597.00012207,0.548911934716,3195.99986076,0.335242213315,1811.00010872,0.0146870618348,238.000154495,1.00334604365,20.6212888117,3195.99986076,326.219773555,200.999975204,164.999961853,3030.99989891,4.45458560009,456.330210931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,-0.796809116555,88.8147391814,13.6974866534,17.8589609817,-84.9724459449,173.787185126,-0.27769735051,46.6016258747,0.137366705646,834.903587248,315.552413057,252.134140885,19.8885785202,815.015008728,0.820703603102,182.473351066,33.074187962,3377.0,328.744444444,203.5,153.0,3224.0,5.37008063124,414.052588209
